PO Date,Sales
1-15-2007,1950
4-15-2007,2100
7-15-2007,2500
10-15-2007,3700
1-15-2008,3300
4-15-2008,3300
6-3-2008,3600
9-11-2008,3000
12-8-2008,1725
3-11-2009,1600
6-15-2009,1800
9-15-2009,2500
12-15-2009,3700
3-16-2010,3600
6-15-2010,4000
9-14-2010,3800
12-17-2010,4200
3-18-2011,4600
6-13-2011,4200
9-13-2011,3600
12-13-2011,3500
3-13-2012,3100
6-13-2012,2550
9-13-2012,2850
12-11-2012,3100
3-12-2013,4100
6-11-2013,3700
9-10-2013,3750
12-10-2013,3725
3-11-2014,4985
6-10-2014,3550
9-9-2014,2825
12-9-2014,2840
3-10-2015,3920
6-9-2015,2600
9-8-2015,2780
12-8-2015,2880
3-8-2016,2755
6-7-2016,2750
9-13-2016,3735
12-12-2016,4240
3-13-2017,4595
6-12-2017,5510
9-11-2017,5940
12-11-2017,4590
3-12-2018,5275
6-11-2018,5590
9-10-2018,4275
12-10-2018,4102
3-11-2019,4102
